"galaxy_id","optical_u","optical_g","optical_r","optical_i","optical_z","infrared_three_six","infrared_four_five","infrared_five_eight","infrared_eight_zero","infrared_J","infrared_K","radio_one_four","redshift_result"
"galaxy_1","24","23","23.94","24.91","25.73","100.14","150.12","175","180.94","200.36","210.5","1400.4","195.31"
"galaxy_2","26.04","25.18","25.99","26.83","27.54","92.13","135.51","157.11","162.27","179.12","187.92","1220.76","174.34"
"galaxy_3","27.81","27.06","27.76","28.5","29.11","85.18","122.83","141.58","146.05","160.69","168.32","1064.82","156.13"
"galaxy_4","29.35","28.7","29.31","29.94","30.48","79.14","111.83","128.1","131.98","144.68","151.31","929.47","140.33"
"galaxy_5","30.68","30.12","30.65","31.2","31.66","73.9","102.27","116.4","119.77","130.79","136.55","811.99","126.61"
"galaxy_6","31.84","31.35","31.81","32.29","32.69","69.36","93.98","106.24","109.17","118.74","123.73","710.02","114.71"
"galaxy_7","32.84","32.42","32.82","33.23","33.58","65.41","86.78","97.42","99.97","108.27","112.61","621.5","104.37"
"galaxy_8","33.72","33.35","33.69","34.06","34.36","61.98","80.54","89.77","91.98","99.19","102.95","544.67","95.4"
"galaxy_9","34.47","34.15","34.45","34.77","35.03","59.01","75.11","83.13","85.05","91.3","94.57","477.98","87.62"
"galaxy_10","35.13","34.85","35.11","35.39","35.62","56.43","70.41","77.37","79.03","84.46","87.29","420.1","80.86"
"23","13","123","123","3123","23","123","132","123","131","13","123","23","313.31"
"2","123","23","123","23","32","32","32","32","23","23","2","32","38.46"
"First","321","23","123","23","23","23","23","23","32","23","32","23","53.23"
"First","321","23","123","23","23","23","23","23","32","23","32","23","53.23"
"2","123","23","123","23","32","32","32","32","23","23","2","32","38.46"
"23","13","123","123","3123","23","123","132","123","131","13","123","23","313.31"
"23","13","123","123","3123","23","123","132","123","131","13","123","23","313.31"
"2","123","23","123","23","32","32","32","32","23","23","2","32","38.46"
"First","321","23","123","23","23","23","23","23","32","23","32","23","53.23"
